Name	Control	Control	Control	Control	Control	Control	Control	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient	patient
LINC00337	2.88215	3.08118	2.81985	3.0701	2.81527	2.9316400000000002	2.8755599999999997	2.81527	2.83992	2.72929	3.01867	2.92777	2.6535900000000003	2.9695400000000003	2.6947200000000002	2.95951	2.76605	2.9784900000000003	2.6290299999999998	2.6846799999999997	2.73956
HES3	4.41665	4.56586	4.33636	4.85919	4.42005	4.46126	4.55004	4.30008	4.05124	4.73174	4.4493	4.68435	4.102530000000001	4.00225	3.92708	4.43388	4.34879	4.43392	4.56548	4.50201	4.05435
LOC100130071	4.27345	4.37765	4.72984	4.46687	4.406569999999999	4.5225800000000005	4.5681	4.49435	4.1594	4.64497	4.66671	4.71408	4.17718	4.5509900000000005	4.49218	4.51659	4.68896	4.63136	4.24523	4.49218	4.21938
ESPN	6.19965	5.59529	5.56744	5.87902	5.5649	5.667009999999999	5.71594	5.66224	5.69833	5.73995	5.54507	5.81785	5.45512	5.50669	5.4693	5.58544	5.63109	5.98656	5.672219999999999	5.58941	5.773280000000001
RNU6-731P	5.98525	5.31964	5.42298	5.12487	4.81222	5.30766	4.98773	5.2373199999999995	5.2589	5.53801	5.30766	5.721	5.47852	5.0851	5.16964	5.12499	5.30766	5.52533	5.60325	5.54378	5.53216
TAS1R1	3.73829	3.7541800000000003	3.54892	3.5883	3.50126	3.56891	3.5076400000000003	3.5735099999999997	3.51064	3.91676	3.60393	3.6970400000000003	3.6118699999999997	3.0819099999999997	3.5735099999999997	3.5725800000000003	3.7140800000000005	3.6086400000000003	3.3118800000000004	3.66511	3.4969900000000003
ZBTB48	4.81877	4.98021	4.74559	4.800619999999999	4.84474	4.77616	4.57874	4.96191	4.52232	4.77616	4.96809	4.2416	4.96933	4.63727	4.74883	4.889959999999999	4.78527	4.77616	4.5629	4.695790000000001	4.73462
PHF13	4.9976199999999995	4.9557400000000005	4.86901	4.86901	4.71839	4.98364	4.86901	4.86901	4.86901	5.1254	4.86901	4.5679099999999995	4.98723	4.60126	4.86901	4.86901	5.18877	4.78158	4.85706	4.733969999999999	4.86901
THAP3	4.25569	4.4627	4.3291699999999995	4.3266599999999995	4.43384	4.31579	4.32337	4.366709999999999	4.31579	4.145580000000001	4.40752	4.31579	4.0212900000000005	4.03034	4.31579	4.31579	4.18738	4.55392	4.31579	4.078119999999999	4.09729
CAMTA1	3.4036800000000005	3.60894	3.2602900000000004	3.7204800000000002	4.00855	3.62669	3.64289	3.34645	3.52578	3.79524	3.6103699999999996	3.8509300000000004	3.68286	3.55839	3.50526	3.5049099999999997	3.3630400000000003	3.44938	3.9694800000000003	3.6588199999999995	3.80559
RNU1-8P	2.0087200000000003	2.7548	2.1753	2.1078900000000003	2.00455	2.5444	1.90735	2.35719	2.7494099999999997	1.97416	2.69423	2.4203099999999997	2.14222	2.1548700000000003	2.32761	2.58185	2.58282	2.13844	2.28772	2.12404	2.23208
VAMP3	6.775119999999999	6.65786	6.820530000000001	6.66782	6.604660000000001	6.42629	6.66355	7.5156	6.38085	6.858110000000001	7.1336699999999995	5.8666	7.18779	6.41141	7.32026	7.07834	7.19556	6.87259	6.20338	7.09805	6.83652
PER3	3.91115	3.95961	4.071269999999999	3.9366199999999996	3.7699	3.97095	3.9351199999999995	3.1165700000000003	3.7936099999999997	3.87795	3.1787099999999997	3.70457	3.5678400000000003	3.57325	3.46484	3.57548	3.62903	3.7289199999999996	3.7158900000000004	3.60439	3.4910099999999997
PARK7	7.83144	7.7152899999999995	7.8151399999999995	7.732080000000001	7.813089999999999	7.8518300000000005	8.00791	7.94561	8.373439999999999	8.04743	7.75109	8.59602	8.29608	8.96451	8.12916	8.173110000000001	7.80817	8.39707	8.76623	8.21139	8.27338
SLC45A1	4.01095	3.7771199999999996	3.8229599999999997	3.59246	3.58846	3.60435	3.60377	3.30692	3.5372	3.5789800000000005	3.6797	3.69558	3.24079	3.62525	3.10022	3.4188099999999997	3.43548	3.73795	3.5236699999999996	3.67875	3.25977
---	3.97563	3.50509	4.46899	4.0610800000000005	3.57334	3.7285699999999995	3.91528	3.89585	3.94887	4.55946	3.8357699999999997	3.87908	3.8249400000000002	3.8026	3.17651	3.60881	4.01365	3.58049	4.03903	4.46167	4.46379
HMGN2P17	2.6892099999999997	2.73386	2.92283	2.91328	2.815	2.6981	2.9081799999999998	3.33385	2.96603	2.75927	3.15394	3.2730799999999998	2.7448900000000003	3.02218	3.5831	3.2148	3.17486	3.49214	2.91182	3.61059	3.05252
CA6	3.50198	3.61266	3.30738	3.3053199999999996	3.01756	3.21584	3.30334	3.3944400000000003	4.03447	3.13192	3.18533	3.25723	3.47091	3.6184	3.4151199999999995	3.47088	3.21584	3.7780099999999996	3.37855	3.34341	3.18717
---	4.41075	4.40361	4.39309	4.5967199999999995	4.27168	4.3742	4.16337	4.74412	4.39544	4.74555	4.74001	4.028980000000001	4.698930000000001	4.3084	4.55152	4.63155	4.87177	3.95269	4.03912	4.23644	4.54711
H6PD	5.42408	5.05484	5.41345	4.9987699999999995	5.23876	4.9338	5.16129	5.77094	5.35116	5.28038	5.99314	4.81427	5.27254	4.86606	5.2769900000000005	5.35722	5.70394	5.32231	4.33346	5.67457	5.44646
